sense_question,wordnet_sense
black n_say_5,black.n.07
black v_say_1,blacken.v.01
black v_understand_1,blacken.v.01
blanket adj_say_1,across-the-board.s.01
blanket adj_understand_1,across-the-board.s.01
blanket n_say_1,blanket.n.01
blanket n_say_2,blanket.n.02
blanket v_say_1,blanket.v.01
blanket v_say_2,blanket.v.02
blanket v_understand_1,blanket.v.01
blanket v_understand_2,blanket.v.02
block calibration_say_1,pulley.n.01
block calibration_understand_1,pulley.n.01
block n_say_1,block.n.01
block n_say_10,auction_block.n.01
block n_say_11,blocking.n.01
block n_say_2,block.n.02
block n_say_3,block.n.03
block n_say_4,block.n.04
block n_say_5,block.n.05
block n_say_6,block.n.07
block n_say_7,pulley.n.01
block n_say_8,engine_block.n.01
block n_say_9,blockage.n.02
block v_say_1,barricade.v.01
block v_say_10,obstruct.v.02
block v_say_11,block.v.11
block v_say_12,parry.v.01
block v_say_13,forget.v.02
block v_say_14,block.v.14
block v_say_15,block.v.15
block v_say_2,obstruct.v.01
block v_say_3,stop.v.03
block v_say_4,jam.v.04
block v_say_5,block.v.05
block v_say_6,block.v.06
block v_say_7,obstruct.v.03
block v_say_8,block.v.08
block v_say_9,stuff.v.03
block v_understand_1,barricade.v.01
block v_understand_10,obstruct.v.02
block v_understand_11,block.v.11
block v_understand_12,parry.v.01
block v_understand_13,forget.v.02
block v_understand_14,block.v.14
block v_understand_15,block.v.15
block v_understand_2,obstruct.v.01
block v_understand_3,stop.v.03
block v_understand_4,jam.v.04
block v_understand_5,block.v.05
block v_understand_6,block.v.06
block v_understand_7,obstruct.v.03
block v_understand_8,block.v.08
block v_understand_9,stuff.v.03
blow n_say_1,blow.n.01
blow n_say_2,blow.n.02
blow n_say_3,reverse.n.03
blow n_say_4,shock.n.06
blow n_say_5,gust.n.01
blow n_say_6,blow.n.07
blow v_say_1,blow.v.01
blow v_say_10,blow.v.11
blow v_say_11,blow.v.13
blow v_say_12,blow.v.14
blow v_say_13,blow.v.15
blow v_say_14,shove_off.v.01
blow v_say_15,blow.v.18
blow v_say_16,boast.v.01
blow v_say_17,blow.v.20
blow v_say_18,blow_out.v.01
blow v_say_19,blow.v.22
blow v_say_2,blow.v.02
blow v_say_3,blow.v.03
blow v_say_4,float.v.01
blow v_say_5,blow.v.05
blow v_say_6,blow.v.06
blow v_say_7,botch.v.01
blow v_say_8,waste.v.01
blow v_say_9,blow.v.10
blow v_understand_1,blow.v.01
blow v_understand_10,blow.v.11
blow v_understand_11,blow.v.13
blow v_understand_12,blow.v.14
blow v_understand_13,blow.v.15
blow v_understand_14,shove_off.v.01
blow v_understand_15,blow.v.18
blow v_understand_16,boast.v.01
blow v_understand_17,blow.v.20
blow v_understand_18,blow_out.v.01
blow v_understand_19,blow.v.22
blow v_understand_2,blow.v.02
blow v_understand_3,blow.v.03
blow v_understand_4,float.v.01
blow v_understand_5,blow.v.05
blow v_understand_6,blow.v.06
blow v_understand_7,botch.v.01
blow v_understand_8,waste.v.01
blow v_understand_9,blow.v.10
blue adj_say_1,blue.s.01
blue adj_say_2,gloomy.s.02
blue adj_say_3,aristocratic.s.01
blue adj_understand_1,blue.s.01
blue adj_understand_2,gloomy.s.02
blue adj_understand_3,aristocratic.s.01
blue n_say_1,blue.n.01
blue n_say_2,blue.n.02
blue n_say_3,blue_sky.n.01
blue v_say_1,blue.v.01
blue v_understand_1,blue.v.01
boat n_say_1,boat.n.01
boat n_say_2,gravy_boat.n.01
boat v_say_1,boat.v.01
boat v_understand_1,boat.v.01
boots n_say_1,boot.n.01
boots n_say_2,boot.n.02
boots n_say_3,bang.n.04
boots n_say_4,boot.n.04
boots n_say_5,kick.n.01
boots v_say_1,boot.v.01
